,id,text,is_humor,humor_rating,humor_controversy,offense_rating
0,9001,Finding out your ex got fat is like finding 20 bucks in your pocket. Not life changing but definitely puts a smile on your  face.,1,2.3496528,0,1.0942831
1,9002,"For Brockmann, stereotypes imperil national security if real threats go unnoticed while racialized Muslims are stigmatized as violent and fanatical. Moreover, she claims, positive as well as negative stereotypes prevent intimacy and love from flourishing.",0,0.0,0,0.124689996
2,9003,"A girl runs up to her mother with a pile of crap in her hand ""Look what I almost stepped in!""",1,2.14884,1,0.65326554
3,9004,gotta wonder if baseball still would've been called america's pastime if candy crush was around,1,2.5462708,1,0.16682592
4,9005,"When you're dreading getting in the shower cuz you're lazy, but then you get in and you're like, this is my home now.",1,0.8378017,1,0.0
5,9006,Parenthood feels like you're on a magical unicorn that's on fire and eats your food.,1,1.7599518,1,0.0
6,9007,"It's Friday night and I'm out of control! Getting a bit wild tonight cuz I'm about to put on my good pajamas, and eat some Froot Loops on the couch with a fluffy blanket.",1,1.195591,1,0.0
7,9008,me: I didn't know this was a hibachi restaurant waiter throwing shrimp at me: it's not I just don't like your face,1,2.8631163,1,0.03888276
8,9009,Maybe we need to turn the United States off and then back on again.,0,0.17625009,1,0.04850974
9,9010,I asked my North Korean friend how it was there.. .. he said he couldn't complain.,1,2.3102536,1,2.105456
10,9011,me at karaoke: if the crowd isn't digging me you do your thing my friend who can throw up on cue: no worries,1,2.6767845,1,0.37626907
11,9012,"Be us straight, queer, muscular, fat, tall, short, twink, bear, large, small, piercing, hairy, slim, domineering, submissive, HIV Poz or Negative, we are all brothers. Let's not discriminate among ourselves, we already suffer discrimination.",0,0.08729263,0,0.19478619
12,9013,I've learned how to turn self-doubt into an energy source and to metabolize fear into a result-producing adrenaline. Wednesday Wisdom,0,0.0,1,0.07421701
13,9014,These Disney covers are making me very nostalgic. What's your favorite Disney song? American Idol,0,0.045010522,1,0.030744042
14,9015,Iyanna’s CashApp has been disabled. We will update this thread when we have more information.,0,0.04696165,1,0.07313886
15,9016,they never mention this but you can only become a veterinarian once you can untangle two geese,1,2.067668,1,0.0
16,9017,My girlfriend told me that my dick is two inches bigger than her ex's. And that is why she will never go back into a lesbian relationship.,1,2.6383865,1,2.0885303
17,9018,"Yes, that was my husband skipping on national television. He's a bit competitive. Still A Kid At Heart Beat An Eighth Grader",1,2.3894334,1,0.13851757
18,9019,"If a child has an episode of AOM prior to 12 mos of age, they have a 70% chance of another AOM episode sometime in their life. AAP 19 tweet iatric ian",0,0.0,1,0.092533916
19,9020,Almost time East Coast. Gather around - 20 minutes until 2020! Rockin Eve,0,0.0,1,0.071988806
20,9021,"Just 5 days until we launch the new black kids swim website! The questions, requests, participation, and continued support from black swimmers and black swim parents have pushed us to become a more dynamic organization.",0,0.0,1,0.106000006
21,9022,"Up next, who stays and who goes home? I'll be back with the results American Idol",0,0.0,1,0.058067042
22,9023,The first minute in the hot tub always feels the best... after that it's hard to relax with my neighbors yelling at me to get out of their yard.,1,2.6947737,1,0.0
23,9024,Saw a homeless guy babbling about conspiracy theories that doesn't really make sense... You could say it was a vague rant.,1,2.5272212,1,0.62192297
24,9025,"Almost 20 years later, we still carry the scars of xenophobia, islamaphobia, and 9/11 is used as a tool to keep people out of our country instead of a memorial. May we grow and change this year. And may their memories be a blessing.",0,0.0,1,0.12288788
25,9026,Sitting her wondering are my 5 inch heels days over. All the guys look so comfortable and the women are suffering. I 'm always prepared for any occasion. I want pretty feet in the future. you girlfriend next door i m just saying,1,0.5666447,1,0.0
26,9027,Be HIS BEST FRIEND.. real talk,0,0.0,1,0.019283477
27,9028,I burned a kid in a wheelchair today. Hot wheels.,1,2.634832,1,1.6225106
28,9029,"What's the difference between mass and weight? Mass is where Catholics go on Sunday, and weight is where sundaes go on Catholics. ",1,1.9089737,1,1.1403023
29,9030,My condolences for you and your family through this difficult transition is why my wife won't let me send back wedding RSVP cards.,1,1.6709954,0,0.0
30,9031,You'd be surprised how much you can learn from people who disagree with you.,0,0.0,1,0.0588951
31,9032,"You know... When someone says to you ""Jesus loves you."" It's always comforting. Unless you are in a Mexican jail.",1,1.8873247,1,3.0677035
32,9033,If Whites were the 'positive' in 1950s. Then blacks must been 'niggative',1,2.241049,0,2.7090328
33,9034,The US flag on the moon lost its color and is now completely white It's now the French flag.,1,2.282516,1,0.45834124
34,9035,Scratch and win tickets that look like scabs where you have to pick them off to see if you won.,1,2.3326275,1,0.0
35,9036,What's the difference between a blonde and an Airbus A380? Not everyone has been in an Airbus A380.,1,1.9925716,1,2.1042602
36,9037,Having sex with a waitress sucks. She only takes the tip.,1,3.0144114,1,0.8808601
37,9038,"The difference between husbands and wives: When my wife says 'I need to talk to you about something', there is a 99% chance it's not good. When I say 'I need to talk to you about something', there is an 99% chance it will be followed by a fart.",1,2.8555534,1,0.9534018
38,9039,Out of respect for all of you who have children and are forced to homeschool I've started drinking heavily this morning…,1,2.6336775,1,0.0
39,9040,What's another name for a boxy plow pulling baby maker? A Mexican. ,1,1.8490226,1,2.3410537
40,9041,"Respect your partner, hold on tight to your man if indeed he shows how much he loves you. Real gay love is so hard, 'haaarrrrd' to find. Just be lucky you found one.",0,0.0,1,0.07323441
41,9042,"I am so ready for my workplace drug test today. I stayed up all night studying all the street drugs. Ask me anything! I know all about meth, marijuana, special k... I even did some coke just to try it out and help me stay awake.",1,2.4719741,1,0.0
42,9043,"3yo: I'm thirsty Husband: I'll get you water 3yo: no. I want her to get it for me *points to me* Me, asleep:",1,2.5411634,1,0.027271014
43,9044,"To the contestants who didn't make it through to the next round, your journey isn't over. It's just getting started! Take the judges' notes and make us all proud. Can't wait to see where it takes you! Hollywood Week American Idol",0,0.065418355,1,0.060878683
44,9045,"Coworker: Can you believe it's the end of November already? Me, unsurprised by the passage of time: Yes",1,2.746617,1,0.0
45,9046,"Do NOT compare your boyfriend to your ex. He doesn't want to be like your ex, Nor does he want to be compared to your ex",0,0.0,1,0.06701206
46,9047,"If alcohol influences short-term memory, what does alcohol do?",0,0.068678655,1,0.04633056
47,9048,Nothing meant for you can be stopped by anyone but you!! There is greater in you...You simply have to believe....Doubt is the death of dreams. -Monica Brown,0,0.0,1,0.079314694
48,9049,"I wonder if I'm the most famous person from my high school. Morrow High School, Ellenwood, GA. Class of 2004",1,0.4082573,1,0.0
49,9050,What's a blind mans worst fear ? A prius,1,2.2452703,0,1.0772465
50,9051,I made it halfway to Mexico before I realized that those sirens were just coming from the song on my radio.,1,2.720118,1,0.36467624
51,9052,Switching gears... Now inside the Dolby Theatre to usher in the final moments before the big show. On ABC - tune in! Oscars,0,0.051389933,1,0.017903678
52,9053,What did the momma hawk say to her chicks? Quit falcon around or get the flock outta here!,1,2.62963,1,0.0
53,9054,[family watching as the paramedics work on me] why aren't you getting him back? *me dunking on 8 foot rims in heaven*,1,1.91764,1,0.0
54,9055,"hey, brands. you don't need to do a 9/11 post. it’s ok. take the day off. we will pick back up with the pillsbury doughboy tomorrow. whether chester cheeto is for or against terrorism is not in question.",0,0.14228553,0,0.11846647
55,9056,"It's so hard to dress my 3yo that I've given up. She can wear pajamas all day. She can dress herself if she wants, and wear underwear on her head with pants as a shirt. I really don't care anymore. You do you girl.",1,1.7429029,0,0.37945387
56,9057,In light of all the recent blond jokes... Why are blond jokes so short? So men can remember them.,1,1.9822394,0,1.867297
57,9058,What do they call Peter Pan in China? Peter Wok,1,1.8385966,1,1.7699591
58,9059,"if you love something, let it go. if it comes back, it might be a boomerang. bro..? are you in love with a boomerang",1,0.2940734,0,0.1781771
59,9060,Mia: Remember when I went thru that dumb phase? Me: No. When was that? Mia: The other day. It was like 2 whole minutes! She Keeps Me Young 😂,1,2.5555334,1,0.0
60,9061,"yeah, I believe in PREMARITAL SEX P - parentheses R E - exponents M - multiplication A R I D - division A - addition L S - subtraction E X",1,2.1290212,1,0.0
61,9062,I realized wrestling was fake when the undertaker who's known as 'the dead man' had to wear a knee brace,1,2.0685751,1,0.25395423
62,9063,"Scientists say dolphins may even be smarter than human beings, but that's funny because I don't remember ever getting my head caught in the plastic rings a six pack comes in.",1,2.04462,1,0.19227402
63,9064,"Imagine putting all this work and effort into your kids to make sure they become decent people, and they grow up to not be funny.",1,2.2376504,1,0.0
64,9065,My Muslim girlfriend wants to blow me Should I be excited or call the cops?,1,2.200532,0,3.2904885
65,9066,"I miss the kidsI can't wait to see the spark in their eyes when they see the nature, the animals.' Mai, Green Horizons Volunteer Powered By JNF Love Grows In Israel Green Horizons",0,0.0,1,0.058416683
66,9067,My heart sinks as I think about children being unable to bathe and sleeping on the floor. It shakes me to my core. This is not a political post. I don’t care about your voting record or what side of the line you live on. What’s important to me is treating all human beings humanely.,0,0.02069387,1,0.07226235
67,9068,"It's called the 'guest bedroom', but a more appropriate name would be 'the room I sleep in when my wife is sick of my snoring'",1,2.2504885,1,0.0
68,9069,"[Community outreach] can generate community, empathy, and compassionwe work to spread this rather than fear and stress.' Ayelet Shmuel, Head of Clinical Centers for Resilience in Sderot Powered By JNF Love Grows In Israel",0,0.011084354,1,0.086637616
69,9070,What do you call three cars overtaking you in Mexico? Tres-passers.,1,2.348892,1,0.47494495
70,9071,Homeschooling is going great I only cried in the bathroom twice today.,1,2.5694072,1,0.30133903
71,9072,"Man.. saddened by the news of the passing of Bill Withers. My condolences to his family and loved ones. I wake up almost every morning and listen to 'Lovely Day'. Bill's music will continue to make the world a better place and live on forever. Rest easy, legend. â¤ï",0,0.0,1,0.08133586
72,9073,"""Blessed are the peacemakers, for they will be called children of God."" Matthew 5:9 Praying For Charlotte",0,0.0,1,0.06783448
73,9074,Edward Carmack's statue was sitting in the state Capitol until it was torn down last week in the protests. The state of Tennessee has vowed to replace it.,0,0.0,1,0.12879544
74,9075,"As we consider medical conditions and complications, it is important to consider the role mental health plays in identification & treatment.",0,0.0,1,0.035558723
75,9076,I just found out my father's sister doesn't like Jewish people. Its hard to believe I have a relative who is auntie semitic.,1,2.258508,1,1.9150581
76,9077,"My wife was out of town, so I had to run the morning routine by myself today. I learned a lot. For example, apparently I have two kids.",1,2.4760532,1,0.0
77,9078,The craziest thing you can do as an adult is fall asleep on the couch. You know you're gonna wake up at 3am with an aching back AND you still gotta shamefully walk to your bed.,1,2.4827213,1,0.0
78,9079,What do you call a gay dentist? The Tooth Fairy,1,2.2458372,0,2.3965786
79,9080,"Normally when I take my kids to the playground I'm the alpha male there, but today there were a few nine year olds who were pretty intimidating.",1,2.8719046,1,0.0
80,9081,Follow your heart but don't forget your brain,0,0.0,1,0.026102073
81,9082,"Hey guys having a tech glitch - will be back up on Strava shortly. You may need to refollow me, sorry!",0,0.016052624,1,0.055137705
82,9083,"What does a tornado and a redneck divorce have in common? In the end, someone is going to lose a trailer.",1,2.4388876,1,2.0256696
83,9084,"Any organization lacking true diversity is unable to empathize with those who experience racism, and ill equipped to respond with sincerity and effective action. Thankfully, Blackswimmers have always had a support group.",0,0.0,1,0.14035557
84,9085,"There were further modifications but the extant policy has still been a problem; in preparation for a meeting with the person responsible for overseeing policy, I gathered some readings on how dress codes are classist, sexist, and racist, explicitly and/or in practice, as enforced.",0,0.2239836,1,0.22576208
85,9086,3yo's are like unfiltered drunk people that love gummy fruit snacks.,1,2.4064765,1,0.0
86,9087,"A REAL MAN chooses to honor, love, respect, adore and be faithful to one woman.",0,0.0,1,0.05130661
87,9088,"Black Trans people's right to self determinate is vital to the survival of Black Trans people and to the health of the Black community at large. In addition to food, we have provided funds for name changes, surgeries, + clothes that help Black Trans folx live on their own terms.",0,0.0,0,0.19437614
88,9089,me: there were two controllers firefighter holding my xbox: im not going back in,1,2.0379333,1,0.0
89,9090,Tag us or reply below if you have resources or updates that need to be shared. Black Out Tuesday,0,0.0,1,0.0962338
90,9091,"The richest man is not the one who owns the most, but the one who needs the least",0,0.0,1,0.06396778
91,9092,Two dyslexics walk into a bra,1,2.4957647,1,1.2757534
92,9093,"A blind man walks into a fish store ... and says: ""Whats up girls"".",1,2.431916,1,1.2427658
93,9094,"Different types of hugs He keeps you at his chest. Well, this kind of hug suggests you the fact that he loves you very much..",0,0.0,1,0.08889274
94,9095,helped us along our way. We are grateful for you! INSTEAD OF FOCUSING ON THOSE THAT FAIL TO VALUE OUR POTENTIAL BLACK KIDS SWIM CHOOSES TO REMAIN GRATEFUL AND RECOGNIZE THE CHAMPIONS WHO PRIORITIZE BLACK SWIMMERS. **,0,0.0,1,0.15981665
95,9096,What do black people with Down's Syndrome call their friends? Their Chromies,1,1.57194,0,3.7283227
96,9097,"Thomas Dolby: She blinded me with science. Neil deGrasse Tyson: That's technically true. But if we're being specific, it was pepper spray.",1,2.0765266,1,0.41612455
97,9098,"Solitary confinement is supposed to be the worst psychological punishment for prison inmates, but I can confirm being locked up with small kids is worse.",1,2.8378549,1,0.34225288
98,9099,me: i want this thing brain: it's expensive and you will just get bored of it in two weeks me: but it will make me happy now brain: yes but don't you want to be happy in the long term and not just for a few days me: i already bought it brain: son of a -,1,1.7350068,1,0.0
99,9100,"A study has shown that AfrAms believe that depression and other mental disorders are a sign of personal weakness. No, it's not. Stomp Stigma",0,0.010666756,1,0.10769585
100,9101,The awkward moment you're watching porn and your girlfriend walks in. I wish she'd told me she worked in the industry.,1,2.7224338,1,0.46363735
101,9102,Roses are red Sunflowers are yellow HPV vaxx prevents cancer Whether you're a gal or a fellow Vax Facts February Health Policy Valentines Vaccines Save Lives,1,1.9723167,1,0.17063211
102,9103,parents: we just want you to be yourself me: *gets a tattoo* parents: you have disgraced the family,1,2.7059493,1,0.0
